Country/Region,Continent,Population,Total Cases,Total Deaths,Total Recovered,Active Cases,Serious/Critical,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region
Kazakhstan,Asia,18798667.0,92245.0,1058.0,49127.625,17678.375,103.125,5104.0,56.0,1732555.25,115099.0,Europe
Egypt,Africa,62940867.75,92245.0,1493.0,48898.0,17678.375,41.0,927.0,48.0,135000.0,1317.0,EasternMediterranean
Ecuador,South America,17668824.0,90537.0,1493.0,49127.625,13342.0,103.125,5124.0,199.0,258582.0,14635.0,Americas
Bolivia,South America,11688459.0,86423.0,1493.0,27373.0,17678.375,71.0,7394.0,199.0,183583.0,15706.0,Americas
Sweden,Europe,10105596.0,81967.0,1493.0,0.0,0.0,38.0,8111.0,199.0,863315.0,85429.0,Europe
Oman,Asia,5118446.0,80713.0,492.0,49127.625,9311.0,103.125,9181.375,96.0,309212.0,60411.0,EasternMediterranean
Israel,Asia,9197590.0,79559.0,576.0,49127.625,17678.375,103.125,8650.0,63.0,1732555.25,183610.25,Europe
Ukraine,Europe,43705858.0,76808.0,1493.0,42524.0,17678.375,103.125,1757.0,42.0,1116641.0,25549.0,Europe
Dominican Republic,North America,10858648.0,76536.0,1246.0,40539.0,17678.375,103.125,7048.0,115.0,281926.0,25963.0,Americas
Panama,North America,4321282.0,71418.0,1493.0,45658.0,17678.375,103.125,9181.375,199.0,240995.0,55769.0,Americas
Belgium,Europe,11594739.0,71158.0,1493.0,17661.0,17678.375,61.0,6137.0,199.0,1732555.25,152407.0,Europe
Kuwait,Asia,4276658.0,70045.0,469.0,49127.625,7966.0,103.125,9181.375,110.0,522200.0,122105.0,EasternMediterranean
Belarus,Europe,9449001.0,68503.0,580.0,49127.625,4167.0,0.0,7250.0,61.0,1344303.0,142269.0,Europe
UAE,Asia,9902079.0,61845.0,354.0,49127.625,5752.0,0.0,6246.0,36.0,1732555.25,183610.25,EasternMediterranean
Romania,Europe,19224023.0,57895.0,1493.0,28992.0,17678.375,103.125,3012.0,133.0,1319369.0,68631.0,Europe
Netherlands,Europe,17138756.0,56982.0,1493.0,0.0,0.0,37.0,3325.0,199.0,1079860.0,63007.0,Europe
Singapore,Asia,5854932.0,54555.0,27.0,48031.0,6497.0,0.0,9181.375,5.0,1474372.0,183610.25,WesternPacific
Guatemala,North America,17946899.0,54339.0,1493.0,42070.0,10150.0,5.0,3028.0,118.0,172712.0,9624.0,Americas
Portugal,Europe,10193593.0,52061.0,1493.0,37840.0,12478.0,42.0,5107.0,171.0,1705474.0,167308.0,Europe
Poland,Europe,37842302.0,49515.0,1493.0,35642.0,12099.0,72.0,1308.0,47.0,1732555.25,62752.0,Europe
Nigeria,Africa,62940867.75,45244.0,930.0,32430.0,11884.0,7.0,219.0,5.0,306894.0,1485.0,Africa
Honduras,North America,9919704.0,45098.0,1423.0,6116.0,17678.375,52.0,4546.0,143.0,109292.0,11018.0,Americas
Bahrain,Asia,1706669.0,42889.0,156.0,39945.0,2788.0,41.0,9181.375,91.0,876700.0,183610.25,EasternMediterranean
Japan,Asia,62940867.75,42263.0,1026.0,28877.0,12360.0,103.125,334.0,8.0,938739.0,7425.0,WesternPacific
