Deaths,Confirmed,Country_Region,Date,Province_State
0,0,US,2020-01-22,Alabama
0,0,US,2020-01-22,Alabama
0,0,US,2020-01-22,Alabama
0,0,US,2020-01-22,Alabama
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Alaska
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arizona
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,Arkansas
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,California
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Colorado
0,0,US,2020-01-22,Connecticut
0,0,US,2020-01-22,Connecticut
0,0,US,2020-01-22,Connecticut
0,0,US,2020-01-22,Connecticut
0,0,US,2020-01-22,Connecticut
0,0,US,2020-01-22,Connecticut
0,0,US,2020-01-22,Connecticut
0,0,US,2020-01-22,Connecticut
0,0,US,2020-01-22,Delaware
0,0,US,2020-01-22,Delaware
0,0,US,2020-01-22,Delaware
0,0,US,2020-01-22,District of Columbia
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Florida
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Georgia
0,0,US,2020-01-22,Hawaii
0,0,US,2020-01-22,Hawaii
0,0,US,2020-01-22,Hawaii
0,0,US,2020-01-22,Hawaii
0,0,US,2020-01-22,Hawaii
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Idaho
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
0,0,US,2020-01-22,Illinois
