Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,Total cases,Total deaths,Total recovered,Total active,Active / 100 Cases
Brunei,141.0,3.0,138.0,0.0,0.0,0.0,0.0,2.13,97.87,2.17,141.0,0.0,0.0,Western Pacific,141.0,3.0,138.0,0.0,0.0
Bulgaria,10621.0,347.0,5585.0,4689.0,194.0,7.0,230.0,3.27,52.58,6.21,8929.0,1692.0,18.95,Europe,10815.0,354.0,5815.0,4646.0,44.15
Burkina Faso,1100.0,53.0,926.0,121.0,14.0,0.0,6.0,4.82,84.18,5.72,1065.0,35.0,3.29,Africa,1114.0,53.0,932.0,129.0,11.0
Burma,350.0,6.0,292.0,52.0,0.0,0.0,2.0,1.71,83.43,2.05,341.0,9.0,2.64,South-East Asia,350.0,6.0,294.0,50.0,14.86
Burundi,378.0,1.0,301.0,76.0,17.0,0.0,22.0,0.26,79.63,0.33,322.0,56.0,17.39,Africa,395.0,1.0,323.0,71.0,20.11
Cabo Verde,2328.0,22.0,1550.0,756.0,21.0,0.0,103.0,0.95,66.58,1.42,2071.0,257.0,12.41,Africa,2349.0,22.0,1653.0,674.0,32.47
Cambodia,226.0,0.0,147.0,79.0,1.0,0.0,4.0,0.0,65.04,0.0,171.0,55.0,32.16,Western Pacific,227.0,0.0,151.0,76.0,34.959999999999994
Cameroon,17110.0,391.0,14539.0,2180.0,402.0,6.0,0.0,2.29,84.97,2.69,16157.0,953.0,5.9,Africa,17512.0,397.0,14539.0,2576.0,12.739999999999995
Canada,99480.25,1807.25,0.0,22660.25,682.0,11.0,0.0,7.68,0.0,13.925,91124.0,3533.0,3.13,Americas,100162.25,1818.25,0.0,98344.0,92.32
Central African Republic,4599.0,59.0,1546.0,2994.0,0.0,0.0,0.0,1.28,33.62,3.82,4548.0,51.0,1.12,Africa,4599.0,59.0,1546.0,2994.0,65.1
Chad,922.0,75.0,810.0,37.0,7.0,0.0,0.0,8.13,87.85,9.26,889.0,33.0,3.71,Africa,929.0,75.0,810.0,44.0,4.02000000000001
Chile,99480.25,1807.25,55575.25,18782.0,1042.75,15.0,552.5,2.64,91.96,2.87,91124.0,7856.5,4.47,Americas,100523.0,1822.25,56127.75,42573.0,5.400000000000006
China,86783.0,1807.25,55575.25,3258.0,213.0,4.0,7.0,5.37,90.88,5.9,85622.0,1161.0,1.36,Western Pacific,86996.0,1811.25,55582.25,29602.5,3.75
Colombia,99480.25,1807.25,55575.25,22660.25,1042.75,15.0,552.5,3.41,51.02,6.69,91124.0,7856.5,26.03,Americas,100523.0,1822.25,56127.75,42573.0,45.56999999999999
Comoros,354.0,7.0,328.0,19.0,0.0,0.0,0.0,1.98,92.66,2.13,334.0,20.0,5.99,Africa,354.0,7.0,328.0,19.0,5.359999999999999
Congo (Brazzaville),3200.0,54.0,829.0,2317.0,162.0,3.0,73.0,1.69,25.91,6.51,2851.0,349.0,12.24,Africa,3362.0,57.0,902.0,2403.0,72.4
Congo (Kinshasa),8844.0,208.0,5700.0,2936.0,13.0,4.0,190.0,2.35,64.45,3.65,8443.0,401.0,4.75,Africa,8857.0,212.0,5890.0,2755.0,33.2
Costa Rica,15841.0,115.0,3824.0,11902.0,612.0,11.0,88.0,0.73,24.14,3.01,11534.0,4307.0,37.34,Americas,16453.0,126.0,3912.0,12415.0,75.13
Cote d'Ivoire,15655.0,96.0,10361.0,5198.0,59.0,0.0,183.0,0.61,66.18,0.93,14312.0,1343.0,9.38,Africa,15714.0,96.0,10544.0,5074.0,33.209999999999994
Croatia,4881.0,139.0,3936.0,806.0,24.0,3.0,70.0,2.85,80.64,3.53,4370.0,511.0,11.69,Europe,4905.0,142.0,4006.0,757.0,16.510000000000005
Cuba,2532.0,87.0,2351.0,94.0,37.0,0.0,2.0,3.44,92.85,3.7,2446.0,86.0,3.52,Americas,2569.0,87.0,2353.0,129.0,3.710000000000008
Cyprus,1060.0,19.0,852.0,189.0,3.0,0.0,0.0,1.79,80.38,2.23,1038.0,22.0,2.12,Europe,1063.0,19.0,852.0,192.0,17.83
Czechia,15516.0,373.0,11428.0,3715.0,192.0,2.0,0.0,2.4,73.65,3.26,14098.0,1418.0,10.06,Europe,15708.0,375.0,11428.0,3905.0,23.94999999999999
Denmark,13761.0,613.0,12605.0,543.0,109.0,0.0,77.0,4.45,91.6,4.86,13453.0,308.0,2.29,Europe,13870.0,613.0,12682.0,575.0,3.950000000000003
Djibouti,5059.0,58.0,4977.0,24.0,9.0,0.0,11.0,1.15,98.38,1.17,5020.0,39.0,0.78,Eastern Mediterranean,5068.0,58.0,4988.0,22.0,0.46999999999999886
Dominica,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,0.0,0.0,Americas,18.0,0.0,18.0,0.0,0.0
Dominican Republic,64156.0,1083.0,30204.0,22660.25,1042.75,15.0,552.5,1.69,47.08,3.59,53956.0,7856.5,18.9,Americas,65198.75,1098.0,30756.5,33344.25,51.230000000000004
Ecuador,81161.0,1807.25,34896.0,22660.25,467.0,15.0,0.0,6.82,43.0,13.925,74620.0,6541.0,8.77,Americas,81628.0,1822.25,34896.0,44909.75,50.18
Egypt,92482.0,1807.25,34838.0,22660.25,420.0,15.0,552.5,5.03,37.67,13.35,88402.0,4080.0,4.62,Eastern Mediterranean,92902.0,1822.25,35390.5,55689.25,57.3
