Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,Total cases,Total deaths,Total recovered,Total active,Active / 100 Cases
Peru,99480.25,1807.25,55575.25,22660.25,1042.75,15.0,552.5,4.73,69.93,6.76,91124.0,7856.5,8.96,Americas,100523.0,1822.25,56127.75,42573.0,25.33999999999999
Philippines,82040.0,1807.25,26446.0,22660.25,1042.75,13.0,336.0,2.37,32.24,7.35,68898.0,7856.5,19.07,Western Pacific,83082.75,1820.25,26782.0,54480.5,65.39
Poland,43402.0,1676.0,32856.0,8870.0,337.0,5.0,103.0,3.86,75.7,5.1,40383.0,3019.0,7.48,Europe,43739.0,1681.0,32959.0,9099.0,20.439999999999998
Portugal,50299.0,1719.0,35375.0,13205.0,135.0,2.0,158.0,3.42,70.33,4.86,48771.0,1528.0,3.13,Europe,50434.0,1721.0,35533.0,13180.0,26.25
Qatar,99480.25,165.0,55575.25,3104.0,292.0,0.0,304.0,0.15,97.02,0.16,91124.0,2560.0,2.39,Eastern Mediterranean,99772.25,165.0,55879.25,43728.0,2.8299999999999983
Romania,45902.0,1807.25,25794.0,17902.0,1042.75,15.0,151.0,4.81,56.19,8.55,38139.0,7763.0,20.35,Europe,46944.75,1822.25,25945.0,19177.5,39.0
Russia,99480.25,1807.25,55575.25,22660.25,1042.75,15.0,552.5,1.63,73.74,2.21,91124.0,7856.5,5.21,Europe,100523.0,1822.25,56127.75,42573.0,24.63000000000001
Rwanda,1879.0,5.0,975.0,899.0,58.0,0.0,57.0,0.27,51.89,0.51,1629.0,250.0,15.35,Africa,1937.0,5.0,1032.0,900.0,47.839999999999996
Saint Kitts and Nevis,17.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,88.24,0.0,17.0,0.0,0.0,Americas,17.0,0.0,15.0,2.0,11.760000000000005
Saint Lucia,24.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,91.67,0.0,23.0,1.0,4.35,Americas,24.0,0.0,22.0,2.0,8.329999999999998
