Country/Region,Confirmed,Deaths,Recovered,Active,WHO Region,Hemisphere,Season
Guyana,0,0,0,0,Americas,Northern,Winter
Haiti,0,0,0,0,Americas,Northern,Winter
Côte d'Ivoire,0,0,0,0,Europe,Northern,Winter
Honduras,0,0,0,0,Americas,Northern,Winter
Hungary,0,0,0,0,Europe,Northern,Winter
Iceland,0,0,0,0,Europe,Northern,Winter
India,0,0,0,0,South-East Asia,Northern,Winter
Indonesia,0,0,0,0,South-East Asia,Southern,Summer
Iran,0,0,0,0,Eastern Mediterranean,Northern,Winter
Iraq,0,0,0,0,Eastern Mediterranean,Northern,Winter
Ireland,0,0,0,0,Europe,Northern,Winter
Israel,0,0,0,0,Europe,Northern,Winter
Italy,0,0,0,0,Europe,Northern,Winter
Jamaica,0,0,0,0,Americas,Northern,Winter
Japan,2,0,0,2,Western Pacific,Northern,Winter
Jordan,0,0,0,0,Eastern Mediterranean,Northern,Winter
Kazakhstan,0,0,0,0,Europe,Northern,Winter
Kenya,0,0,0,0,Africa,Southern,Summer
South Korea,1,0,0,1,Western Pacific,Northern,Winter
Kuwait,0,0,0,0,Eastern Mediterranean,Northern,Winter
Kyrgyzstan,0,0,0,0,Europe,Northern,Winter
Latvia,0,0,0,0,Europe,Northern,Winter
Lebanon,0,0,0,0,Eastern Mediterranean,Northern,Winter
Liberia,0,0,0,0,Africa,Northern,Winter
Liechtenstein,0,0,0,0,Europe,Northern,Winter
Lithuania,0,0,0,0,Europe,Northern,Winter
Luxembourg,0,0,0,0,Europe,Northern,Winter
Madagascar,0,0,0,0,Africa,Southern,Summer
Malaysia,0,0,0,0,Western Pacific,Northern,Winter
Maldives,0,0,0,0,South-East Asia,Northern,Winter
Malta,0,0,0,0,Europe,Northern,Winter
Mauritania,0,0,0,0,Africa,Northern,Winter
Mauritius,0,0,0,0,Africa,Southern,Summer
Mexico,0,0,0,0,Americas,Northern,Winter
Moldova,0,0,0,0,Europe,Northern,Winter
Monaco,0,0,0,0,Europe,Northern,Winter
Mongolia,0,0,0,0,Western Pacific,Northern,Winter
Montenegro,0,0,0,0,Europe,Northern,Winter
Morocco,0,0,0,0,Eastern Mediterranean,Northern,Winter
Namibia,0,0,0,0,Africa,Southern,Summer
Nepal,0,0,0,0,South-East Asia,Northern,Winter
Netherlands,0,0,0,0,Europe,Northern,Winter
Netherlands,0,0,0,0,Europe,Northern,Winter
Netherlands,0,0,0,0,Europe,Northern,Winter
Netherlands,0,0,0,0,Europe,Northern,Winter
New Zealand,0,0,0,0,Western Pacific,Southern,Summer
Nicaragua,0,0,0,0,Americas,Northern,Winter
Niger,0,0,0,0,Africa,Northern,Winter
Nigeria,0,0,0,0,Africa,Northern,Winter
North Macedonia,0,0,0,0,Europe,Northern,Winter
Norway,0,0,0,0,Europe,Northern,Winter
Oman,0,0,0,0,Eastern Mediterranean,Northern,Winter
Pakistan,0,0,0,0,Eastern Mediterranean,Northern,Winter
Panama,0,0,0,0,Americas,Northern,Winter
Papua New Guinea,0,0,0,0,Western Pacific,Southern,Summer
Paraguay,0,0,0,0,Americas,Southern,Summer
Peru,0,0,0,0,Americas,Southern,Summer
